,,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC
Technology,,Bioenergy,Gas,Gas CCUS,Geothermal,Hydro,Solar,Tidal,Wave,Wind,Wind Offshore
Country code,Year,,,,,,,,,,
BHR,2020,12.81,12.06,12.81,14.02,12.32,12.32,12.66,12.66,12.66,13.66
BHR,2021,13.31,12.56,13.31,14.520000000000001,12.82,12.82,13.160000000000002,13.160000000000002,13.160000000000002,14.160000000000002
BHR,2022,19.58,18.83,19.58,20.79,19.09,19.09,19.43,19.43,19.43,20.43
BHR,2023,18.62,17.87,18.62,19.83,18.13,18.13,18.47,18.47,18.47,19.47
BHS,2015,12.04,11.29,12.04,13.25,11.55,11.55,11.89,11.89,11.89,12.89
BHS,2016,11.58,10.83,11.58,12.79,11.09,11.09,11.43,11.43,11.43,12.43
BHS,2017,11.38,10.63,11.38,12.59,10.89,10.89,11.23,11.23,11.23,12.23
BHS,2018,12.72,11.97,12.72,13.93,12.229999999999999,12.229999999999999,12.57,12.57,12.57,13.57
BHS,2019,10.85,10.1,10.85,12.06,10.36,10.36,10.7,10.7,10.7,11.7
BHS,2020,10.25,9.5,10.25,11.46,9.76,9.76,10.1,10.1,10.1,11.1
BHS,2021,11.339999999999998,10.59,11.339999999999998,12.550000000000002,10.85,10.85,11.19,11.19,11.19,12.19
BHS,2022,17.74,16.99,17.74,18.95,17.25,17.25,17.59,17.59,17.59,18.59
BHS,2023,17.09,16.34,17.09,18.3,16.6,16.6,16.94,16.94,16.94,17.94
BIH,2015,19.07,18.36,19.07,20.21,16.95,18.6,18.92,18.92,18.92,19.87
BIH,2016,18.52,17.81,18.52,19.67,16.4,18.06,18.38,18.38,18.38,19.33
BIH,2017,15.63,14.929999999999998,15.63,16.76,13.53,15.17,15.49,15.49,15.49,16.42
BIH,2018,17.99,17.29,17.99,19.12,15.89,17.53,17.85,17.85,17.85,18.79
BIH,2019,14.460000000000003,13.76,14.460000000000003,15.59,12.37,14.0,14.319999999999999,14.319999999999999,14.319999999999999,15.26
BIH,2020,12.97,12.27,12.97,14.1,10.88,12.51,12.83,12.83,12.83,13.76
BIH,2021,13.43,12.729999999999999,13.43,14.56,11.339999999999998,12.97,13.29,13.29,13.29,14.22
BIH,2022,20.18,19.48,20.18,21.32,18.08,19.72,20.04,20.04,20.04,20.98
BIH,2023,18.93,18.22,18.93,20.06,16.83,18.47,18.78,18.78,18.78,19.72
BLR,2015,19.81,19.14,19.81,20.9,19.37,19.37,19.68,19.68,19.68,20.58
BLR,2016,19.26,18.59,19.26,20.35,18.82,18.82,19.13,19.13,19.13,20.03
BLR,2017,15.75,15.1,15.75,16.81,15.320000000000002,15.320000000000002,15.62,15.62,15.62,16.49
BLR,2018,16.86,16.21,16.86,17.92,16.44,16.44,16.73,16.73,16.73,17.61
BLR,2019,13.529999999999998,12.87,13.529999999999998,14.580000000000002,13.1,13.1,13.4,13.4,13.4,14.27
BLR,2020,12.1,11.45,12.1,13.15,11.68,11.68,11.97,11.97,11.97,12.84
BLR,2021,12.51,11.86,12.51,13.56,12.089999999999998,12.089999999999998,12.38,12.38,12.38,13.25
BLR,2022,28.78,28.1,28.78,29.88,28.34,28.34,28.65,28.65,28.65,29.55
BLR,2023,32.09,31.4,32.09,33.21,31.64,31.64,31.96,31.96,31.96,32.88
BLZ,2015,22.65,23.65,24.4,25.61,22.16,23.91,24.25,24.25,24.25,25.25
BLZ,2016,22.04,23.04,23.79,25.0,21.55,23.3,23.64,23.64,23.64,24.64
BLZ,2017,14.89,15.89,16.64,17.85,14.4,16.15,16.49,16.49,16.49,17.49
BLZ,2018,17.37,18.37,19.12,20.33,16.88,18.63,18.97,18.97,18.97,19.97
BLZ,2019,13.65,14.65,15.4,16.61,13.16,14.91,15.25,15.25,15.25,16.25
BLZ,2020,15.65,16.65,17.4,18.61,15.16,16.04,17.25,17.25,17.25,18.25
BLZ,2021,16.2,17.2,17.95,19.16,15.71,16.58,17.8,17.8,17.8,18.8
BLZ,2022,24.26,25.26,26.01,27.22,23.77,24.64,25.86,25.86,25.86,26.86
BLZ,2023,22.22,23.22,23.97,25.18,21.73,22.61,23.82,23.82,23.82,24.82
BMU,2015,10.2,9.45,10.2,11.41,9.71,9.71,10.05,10.05,10.05,11.05
BMU,2016,9.77,9.02,9.77,10.98,9.28,9.28,9.62,9.62,9.62,10.62
BMU,2017,9.72,8.97,9.72,10.929999999999998,9.23,9.23,9.570000000000002,9.570000000000002,9.570000000000002,10.570000000000002
BMU,2018,10.699999999999998,9.95,10.699999999999998,11.910000000000002,10.21,10.21,10.55,10.55,10.55,11.550000000000002
BMU,2019,9.42,8.67,9.42,10.63,8.93,8.93,9.27,9.27,9.27,10.27
BMU,2020,8.04,7.29,8.04,9.25,7.55,7.55,7.89,7.89,7.89,8.89
BMU,2021,8.5,7.75,8.5,9.71,8.01,8.01,8.35,8.35,8.35,9.35
BMU,2022,11.03,10.28,11.03,12.24,10.54,10.54,10.88,10.88,10.88,11.88
BMU,2023,11.51,10.76,11.51,12.72,11.02,11.02,11.36,11.36,11.36,12.36
BOL,2015,12.78,12.15,12.78,13.79,10.91,12.37,12.65,12.65,12.65,13.49
BOL,2016,12.34,11.71,12.34,13.35,10.46,11.93,12.21,12.21,12.21,13.05
BOL,2017,10.89,10.28,10.89,11.89,9.06,10.49,10.77,10.77,10.77,11.59
BOL,2018,12.37,11.76,12.37,13.37,10.53,11.97,12.25,12.25,12.25,13.07
BOL,2019,10.27,9.66,10.27,11.26,8.43,9.87,10.15,10.15,10.15,10.97
BOL,2020,10.75,10.13,10.75,11.75,8.89,9.62,10.62,10.62,10.62,11.45
BOL,2021,11.12,10.5,11.12,12.12,9.27,9.99,11.0,11.0,11.0,11.83
BOL,2022,15.91,16.01,16.64,17.65,14.76,15.5,16.51,16.51,15.78,17.35
BOL,2023,17.77,17.87,18.51,19.53,16.61,18.09,18.38,18.38,17.64,19.23
BRA,2015,9.7,10.47,11.05,11.98,9.33,10.67,10.93,10.93,10.26,11.7
BRA,2016,9.29,10.06,10.64,11.57,8.92,10.26,10.52,10.52,9.85,10.62
BRA,2017,8.18,8.93,9.49,10.4,7.81,9.12,9.38,9.38,8.06,9.47
BRA,2018,9.43,10.19,10.75,11.660000000000002,9.06,10.38,10.64,10.64,9.32,10.729999999999999
BRA,2019,7.68,8.43,8.99,9.9,7.31,8.63,8.88,8.88,7.57,8.98
BRA,2020,6.54,7.29,7.85,8.76,6.17,7.48,7.74,7.74,6.43,7.83
BRA,2021,6.86,7.61,8.17,9.08,6.5,7.8,8.06,8.06,6.75,7.5
BRA,2022,10.3,11.06,11.62,12.54,9.93,10.59,11.51,11.51,10.19,10.94
BRA,2023,10.02,10.77,11.34,12.25,9.65,9.65,11.23,11.23,9.91,10.66
