,,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC
Technology,,Bioenergy,Gas,Gas CCUS,Geothermal,Hydro,Solar,Tidal,Wave,Wind,Wind Offshore
Country code,Year,,,,,,,,,,
KWT,2021,7.43,6.760000000000001,7.43,8.49,6.989999999999999,6.989999999999999,7.29,7.29,7.29,8.18
KWT,2022,9.61,8.95,9.61,10.68,9.18,9.18,9.48,9.48,9.48,10.36
KWT,2023,10.04,9.37,10.04,11.1,9.6,9.6,9.9,9.9,9.9,10.79
LAO,2020,14.49,13.83,14.49,15.55,12.53,14.06,14.36,14.36,14.36,15.24
LAO,2021,14.910000000000002,14.26,14.910000000000002,15.97,12.949999999999998,14.49,14.78,14.78,14.78,15.660000000000002
LAO,2022,25.14,24.47,25.14,26.23,23.14,24.7,25.01,25.01,25.01,25.9
LAO,2023,22.82,22.15,22.82,23.89,20.82,22.38,22.68,22.68,22.68,23.57
LBN,2015,16.68,16.0,16.68,17.77,16.23,16.23,16.54,16.54,16.54,17.44
LBN,2016,16.17,15.49,16.17,17.26,15.73,15.73,16.03,16.03,16.03,16.94
LBN,2017,14.92,14.25,14.92,15.99,14.48,14.48,14.78,14.78,14.78,15.67
LBN,2018,17.2,16.53,17.2,18.28,16.76,16.76,17.07,17.07,17.07,17.96
LBN,2019,16.33,15.66,16.33,17.42,15.11,15.89,16.2,16.2,16.2,17.1
LBN,2020,25.69,24.99,25.69,26.81,24.41,25.23,25.55,25.55,25.55,26.48
LBN,2021,26.99,26.290000000000003,26.99,28.12,25.72,26.540000000000003,26.850000000000005,26.850000000000005,26.850000000000005,27.78
LBN,2022,33.47,32.77,33.47,34.6,31.38,33.01,33.33,33.33,33.33,34.26
LBN,2023,32.49,31.79,32.49,33.62,30.41,32.04,32.35,32.35,32.35,33.28
LBR,2015,18.46,17.81,18.46,19.51,18.03,18.03,18.33,18.33,18.33,19.2
LBR,2016,17.93,17.28,17.93,18.98,17.5,17.5,17.8,17.8,17.8,18.67
LBR,2017,20.47,19.82,20.47,21.52,20.05,20.05,20.34,20.34,20.34,21.21
LBR,2018,24.13,23.47,24.13,25.19,23.7,23.7,24.0,24.0,24.0,24.87
LBR,2019,23.63,22.96,23.63,24.71,23.19,23.19,23.49,23.49,23.49,24.39
LBR,2020,16.91,16.26,16.91,17.95,14.98,16.49,16.78,16.78,16.78,17.64
LBR,2021,14.410000000000002,13.78,14.410000000000002,15.43,12.520000000000001,14.0,14.28,14.28,14.28,15.13
LBR,2022,22.69,22.04,22.69,23.73,20.76,22.27,22.56,22.56,22.56,23.42
LBR,2023,25.13,24.48,25.13,26.19,23.17,24.7,25.0,25.0,25.0,25.88
LBY,2015,22.02,21.34,22.02,23.13,21.58,21.58,21.89,21.89,21.89,22.8
LBY,2016,21.44,20.76,21.44,22.54,21.0,21.0,21.31,21.31,21.31,22.22
LBY,2017,15.76,15.1,15.76,16.81,15.33,15.33,15.62,15.62,15.62,16.5
LBY,2018,14.089999999999998,13.44,14.089999999999998,15.13,13.67,13.67,13.96,13.96,13.96,14.82
LBY,2019,10.11,9.47,10.11,11.14,9.69,9.69,9.98,9.98,9.98,10.83
LBY,2020,14.49,13.83,14.49,15.55,14.06,14.06,14.36,14.36,14.36,15.24
LBY,2021,10.62,9.98,10.62,11.660000000000002,10.2,10.2,10.49,10.49,10.49,11.35
LBY,2022,13.02,12.37,13.02,14.05,12.6,12.6,12.89,12.89,12.89,13.74
LBY,2023,11.25,10.61,11.25,12.28,10.83,10.83,11.12,11.12,11.12,11.97
LIE,2015,8.73,7.98,8.73,9.94,8.24,8.24,8.58,8.58,8.58,9.58
LIE,2016,8.32,7.57,8.32,9.53,7.83,7.83,8.17,8.17,8.17,9.17
LIE,2017,8.69,7.94,8.69,9.9,8.2,8.2,8.54,8.54,8.54,9.540000000000001
LIE,2018,9.44,8.69,9.44,10.65,8.95,8.95,9.29,9.29,9.29,10.29
LIE,2019,8.52,7.769999999999999,8.52,9.73,8.03,8.03,8.37,8.37,8.37,9.37
LIE,2020,7.17,6.42,7.17,8.38,6.68,6.68,7.02,7.02,7.02,8.02
LIE,2021,7.63,6.88,7.63,8.84,7.14,7.14,7.48,7.48,7.48,8.48
LIE,2022,9.48,8.73,9.48,10.69,8.99,8.99,9.33,9.33,9.33,10.33
LIE,2023,10.22,9.47,10.22,11.43,9.73,9.73,10.07,10.07,10.07,11.07
LKA,2015,13.79,13.18,13.79,14.770000000000001,11.96,13.39,13.66,13.66,13.66,14.479999999999999
LKA,2016,13.33,12.72,13.33,14.31,11.51,12.93,13.21,13.21,13.21,14.02
LKA,2017,11.42,10.820000000000002,11.42,12.37,9.65,11.03,11.3,11.3,11.3,12.09
LKA,2018,13.07,12.47,13.07,14.03,11.29,12.68,12.949999999999998,12.949999999999998,12.949999999999998,13.74
LKA,2019,11.64,11.04,11.64,12.6,9.85,11.25,11.52,11.52,11.52,12.31
LKA,2020,12.14,11.54,12.14,13.12,10.34,11.75,12.02,12.02,12.02,12.83
LKA,2021,13.910000000000002,13.300000000000002,13.910000000000002,14.89,12.089999999999998,12.800000000000002,13.79,13.79,13.08,14.6
LKA,2022,27.42,26.77,27.42,28.46,25.49,26.24,27.29,27.29,27.29,28.15
LKA,2023,24.45,23.81,24.45,25.48,22.55,23.29,24.32,24.32,24.32,25.17
LTU,2015,8.17,9.06,9.72,10.8,7.739999999999999,9.29,9.59,9.59,8.04,8.92
LTU,2016,7.77,8.65,9.32,10.39,7.33,8.88,9.18,9.18,7.63,8.52
LTU,2017,7.51,8.39,9.06,10.13,7.08,8.62,8.93,8.93,7.38,8.26
LTU,2018,8.49,9.37,10.04,11.11,8.05,8.83,9.9,9.9,8.35,9.24
LTU,2019,7.19,8.07,8.74,9.81,6.76,8.3,8.61,8.61,7.06,7.94
LTU,2020,5.95,6.83,7.5,8.56,5.52,7.06,7.36,7.36,5.82,6.7
LTU,2021,6.02,6.900000000000001,7.56,8.63,5.580000000000001,6.36,7.43,7.43,5.88,6.77
LTU,2022,8.3,9.19,9.85,10.92,7.87,7.87,9.72,9.72,8.17,9.05
LTU,2023,8.69,9.57,10.24,11.31,8.26,8.26,10.1,10.1,8.56,9.44
LUX,2015,5.76,6.56,7.16,8.13,5.36,5.36,7.04,7.04,5.64,7.139999999999999
LUX,2016,5.4,6.21,6.81,7.77,5.01,5.01,6.69,6.69,5.28,6.09
LUX,2017,5.68,6.4799999999999995,7.08,8.04,5.28,5.28,6.96,6.96,5.55,6.36
LUX,2018,6.32,7.12,7.72,8.68,5.919999999999999,5.919999999999999,7.599999999999999,7.599999999999999,6.2,7.0
LUX,2019,5.55,6.35,6.95,7.92,5.15,5.15,6.83,6.83,5.43,6.23
LUX,2020,4.45,5.25,5.85,6.82,4.06,4.06,5.73,5.73,4.33,5.13
LUX,2021,4.79,5.599999999999999,6.2,7.16,4.4,4.4,6.080000000000001,6.080000000000001,4.67,5.48
LUX,2022,6.34,7.14,7.74,8.71,6.65,5.95,7.62,7.62,6.22,7.02
LUX,2023,6.88,7.68,8.28,9.25,6.49,6.49,8.16,8.16,6.76,7.56
LVA,2015,7.87,8.72,9.36,10.38,7.449999999999999,8.94,9.23,9.23,9.23,10.08
LVA,2016,7.47,8.32,8.96,9.99,7.06,8.55,8.83,8.83,8.83,9.68
LVA,2017,7.21,8.06,8.69,9.72,6.8,8.28,8.57,8.57,8.57,9.41
LVA,2018,8.16,9.0,9.64,10.66,7.739999999999999,9.22,9.51,9.51,9.51,10.36
LVA,2019,6.909999999999999,7.75,8.39,9.41,6.49,7.970000000000001,8.26,8.26,8.26,9.11
LVA,2020,5.71,6.56,7.19,8.22,5.3,6.78,7.07,7.07,6.33,7.91
LVA,2021,6.09,6.93,7.57,8.59,5.68,7.150000000000001,7.44,7.44,7.44,8.29
LVA,2022,8.55,9.39,10.03,11.05,8.13,9.62,9.9,9.9,9.16,10.75
LVA,2023,8.8,9.65,10.28,11.31,8.39,9.87,10.16,10.16,9.42,11.0
MAC,2015,7.38,8.28,8.96,10.06,8.52,8.52,8.83,8.83,8.83,9.73
MAC,2016,6.98,7.89,8.57,9.66,8.12,8.12,8.43,8.43,8.43,9.34
MAC,2017,7.01,7.92,8.6,9.69,8.15,8.15,8.46,8.46,8.46,9.37
MAC,2018,7.86,8.77,9.45,10.54,9.0,9.0,9.31,9.31,9.31,10.22
MAC,2019,6.769999999999999,7.68,8.36,9.46,7.92,7.92,8.22,8.22,8.22,9.13
MAC,2020,5.53,6.43,7.11,8.21,6.67,6.67,6.97,6.97,6.97,7.88
MAC,2021,5.93,6.84,7.52,8.61,7.07,7.07,7.38,7.38,7.38,8.29
MAC,2022,8.08,8.99,9.66,10.76,9.22,9.22,9.53,9.53,9.53,10.43
MAC,2023,8.56,9.46,10.14,11.24,9.7,9.7,10.01,10.01,10.01,10.91
MAR,2015,10.43,9.85,10.43,11.37,8.69,10.05,10.31,10.31,8.96,10.41
MAR,2016,10.03,9.45,10.03,10.97,8.97,9.65,9.91,9.91,8.56,10.01
MAR,2017,9.14,8.57,9.14,10.06,8.1,8.76,9.02,9.02,7.69,9.12
MAR,2018,10.3,9.73,10.3,11.22,9.26,9.92,10.18,10.18,8.85,9.61
MAR,2019,8.7,8.13,8.7,9.62,7.659999999999999,7.659999999999999,8.58,8.58,7.25,8.01
MAR,2020,7.56,6.99,7.56,8.48,6.52,6.52,7.45,7.45,6.12,6.88
MAR,2021,7.89,7.32,7.89,8.81,7.52,6.849999999999999,7.77,7.77,6.44,7.2
MAR,2022,11.04,10.46,11.04,11.96,10.66,9.99,10.92,10.92,9.58,10.35
MAR,2023,10.89,10.32,10.89,11.81,10.51,9.85,10.77,10.77,9.44,10.2
MDA,2015,18.87,18.17,18.87,20.0,17.59,18.41,18.73,18.73,18.73,19.66
MDA,2016,18.33,17.63,18.33,19.46,17.06,17.87,18.19,18.19,18.19,19.13
MDA,2017,15.42,14.73,15.42,16.54,14.17,14.97,15.290000000000001,15.290000000000001,15.290000000000001,16.21
MDA,2018,17.76,17.07,17.76,18.88,16.5,17.31,17.63,17.63,17.63,18.55
MDA,2019,14.279999999999998,13.580000000000002,14.279999999999998,15.39,13.02,13.819999999999999,14.14,14.14,14.14,15.059999999999999
MDA,2020,12.79,12.1,12.79,13.91,11.54,12.34,12.66,12.66,12.66,13.58
MDA,2021,13.24,12.550000000000002,13.24,14.36,11.99,12.79,13.11,13.11,13.11,14.03
MDA,2022,19.94,19.24,19.94,21.06,18.67,19.48,19.8,19.8,19.8,20.72
MDA,2023,18.68,17.99,18.68,19.8,17.42,18.23,18.54,18.54,18.54,19.47
MDG,2015,13.83,13.18,13.83,14.880000000000003,11.88,13.4,13.7,13.7,13.7,14.57
MDG,2016,13.37,12.71,13.37,14.42,11.41,12.94,13.24,13.24,13.24,14.11
MDG,2017,13.47,12.820000000000002,13.47,14.52,11.53,13.040000000000001,13.34,13.34,13.34,14.2
MDG,2018,16.86,16.21,16.86,17.92,14.910000000000002,16.44,16.73,16.73,16.73,17.61
MDG,2019,12.54,11.89,12.54,13.580000000000002,10.6,12.11,12.41,12.41,12.41,13.27
MDG,2020,12.1,11.45,12.1,13.15,10.16,11.68,11.97,11.97,11.97,12.84
MDG,2021,12.51,11.86,12.51,13.56,10.57,12.089999999999998,12.38,12.38,12.38,13.25
MDG,2022,18.95,18.29,18.95,20.01,16.99,18.52,18.82,18.82,18.82,19.7
MDG,2023,17.7,17.04,17.7,18.75,15.74,17.27,17.56,17.56,17.56,18.44
MDV,2018,16.01,15.33,16.01,17.1,15.57,14.78,15.87,15.87,15.87,16.77
MDV,2019,12.99,12.31,12.99,14.080000000000002,12.55,11.76,12.85,12.85,12.85,13.75
MDV,2020,12.53,11.86,12.53,13.62,12.09,11.31,12.4,12.4,12.4,13.3
MDV,2021,13.94,13.26,13.94,15.03,13.49,12.71,13.800000000000002,13.800000000000002,13.800000000000002,14.699999999999998
MDV,2022,21.33,20.65,21.33,22.43,20.88,19.29,21.19,21.19,21.19,22.11
MDV,2023,19.77,19.09,19.77,20.87,19.33,17.74,19.64,19.64,19.64,20.55
MEX,2015,8.62,8.04,8.62,9.56,6.89,8.24,8.5,8.5,8.5,9.28
MEX,2016,8.25,7.67,8.25,9.19,6.52,7.87,8.13,8.13,7.46,8.91
MEX,2017,7.96,7.39,7.96,8.89,6.24,7.589999999999999,7.85,7.85,7.17,8.62
MEX,2018,8.84,8.27,8.84,9.77,7.12,8.47,8.73,8.73,8.06,9.5
MEX,2019,7.69,7.110000000000001,7.69,8.62,5.97,7.31,7.57,7.57,6.9,8.34
MEX,2020,6.92,6.35,6.92,7.86,5.2,5.87,6.81,6.81,5.46,6.91
MEX,2021,7.260000000000001,6.68,7.260000000000001,8.19,5.53,5.53,7.14,7.14,5.79,7.239999999999999
MEX,2022,10.29,9.71,10.29,11.23,8.55,9.23,10.17,10.17,9.5,10.27
MEX,2023,10.31,9.72,10.31,11.24,9.25,9.25,10.19,10.19,9.51,10.29
MKD,2015,14.11,13.41,14.11,15.24,12.02,13.65,13.97,13.97,13.97,14.91
MKD,2016,13.64,12.94,13.64,14.77,11.54,13.18,13.5,13.5,13.5,14.43
MKD,2017,12.209999999999999,11.51,12.209999999999999,13.33,10.13,11.76,12.070000000000002,12.070000000000002,12.070000000000002,13.0
MKD,2018,13.83,13.13,13.83,14.949999999999998,11.75,13.37,13.69,13.69,13.69,14.62
MKD,2019,11.5,10.81,11.5,12.63,9.43,11.05,11.37,11.37,11.37,12.29
MKD,2020,10.12,9.43,10.12,11.24,8.05,9.67,9.98,9.98,9.98,10.91
MKD,2021,10.56,9.87,10.56,11.68,8.48,10.11,10.42,10.42,10.42,11.35
MKD,2022,15.04,14.34,15.04,16.17,12.96,14.58,14.9,14.9,14.9,15.83
MKD,2023,14.65,13.95,14.65,15.77,12.57,13.38,14.51,14.51,14.51,15.44
MLI,2015,14.389999999999999,13.78,14.389999999999999,15.380000000000003,12.56,13.99,14.270000000000001,14.270000000000001,14.270000000000001,15.08
MLI,2016,13.92,13.31,13.92,14.91,12.09,13.52,13.8,13.8,13.8,14.62
MLI,2017,14.7,14.1,14.7,15.69,12.89,14.31,14.58,14.58,14.58,15.39
MLI,2018,17.09,16.48,17.09,18.08,15.26,16.69,16.97,16.97,16.97,17.79
MLI,2019,12.59,11.99,12.59,13.559999999999999,10.79,12.2,12.47,12.47,12.47,13.27
MLI,2020,12.14,11.54,12.14,13.12,10.34,11.75,12.02,12.02,12.02,12.83
MLI,2021,12.5,11.9,12.5,13.479999999999999,10.699999999999998,12.11,12.38,12.38,12.38,13.19
MLI,2022,22.02,21.4,22.02,23.04,20.15,21.61,21.9,21.9,21.9,22.73
MLI,2023,20.02,19.4,20.02,21.02,18.17,19.62,19.9,19.9,19.9,20.73
MLT,2015,8.25,7.699999999999999,8.25,9.15,7.889999999999999,6.6,8.14,8.14,8.14,8.88
MLT,2016,7.89,7.34,7.89,8.79,7.53,6.24,7.78,7.78,7.78,8.52
MLT,2017,7.6,7.05,7.6,8.48,7.24,5.96,7.49,7.49,7.49,8.22
MLT,2018,8.45,7.900000000000001,8.45,9.33,8.09,6.81,8.34,8.34,8.34,9.07
MLT,2019,7.029999999999999,6.49,7.029999999999999,7.909999999999999,6.68,5.41,6.92,6.92,6.92,7.65
MLT,2020,6.0,5.46,6.0,6.88,5.64,4.37,5.89,5.89,5.89,6.62
MLT,2021,6.3,5.760000000000001,6.3,7.18,5.95,4.68,6.2,6.2,6.2,6.919999999999999
MLT,2022,8.27,7.73,8.27,9.15,7.92,6.64,8.16,8.16,8.16,8.89
MLT,2023,8.53,7.99,8.53,9.41,8.18,6.9,8.42,8.42,8.42,9.15
MMR,2015,14.96,14.309999999999999,14.96,16.0,13.02,14.529999999999998,14.83,14.83,14.83,15.690000000000001
MMR,2016,14.48,13.83,14.48,15.52,12.54,14.05,14.35,14.35,14.35,15.21
MMR,2017,14.41,13.77,14.41,15.45,12.49,13.99,14.28,14.28,14.28,15.14
MMR,2018,18.03,17.38,18.03,19.07,16.09,17.6,17.9,17.9,17.9,18.76
MMR,2019,13.34,12.7,13.34,14.37,11.42,12.919999999999998,13.210000000000003,13.210000000000003,13.210000000000003,14.069999999999999
MMR,2020,11.93,11.29,11.93,12.96,10.02,11.51,11.8,11.8,11.8,12.65
MMR,2021,17.64,16.99,17.64,18.7,15.68,17.21,17.51,17.51,17.51,18.39
MMR,2022,24.87,24.21,24.87,25.94,22.89,24.44,24.74,24.74,24.74,25.63
MMR,2023,22.55,21.89,22.55,23.61,20.58,22.12,22.42,22.42,22.42,23.29
MNE,2015,15.0,14.25,15.0,16.21,12.76,14.51,14.850000000000001,14.850000000000001,14.850000000000001,15.850000000000001
MNE,2016,14.51,13.76,14.51,15.72,12.27,14.02,14.36,14.36,14.36,15.36
MNE,2017,14.19,13.44,14.19,15.4,11.95,13.7,14.040000000000001,14.040000000000001,13.17,15.040000000000001
MNE,2018,16.14,15.39,16.14,17.35,13.9,15.65,15.99,15.99,15.11,16.99
MNE,2019,13.279999999999998,12.53,13.279999999999998,14.49,11.04,12.79,13.13,13.13,11.38,13.26
MNE,2020,11.78,11.03,11.78,12.99,9.54,11.29,11.63,11.63,9.88,11.76
MNE,2021,12.28,11.53,12.28,13.49,10.04,11.79,12.13,12.13,10.38,12.25
MNE,2022,17.74,16.99,17.74,18.95,15.5,17.25,17.59,17.59,15.84,17.72
MNE,2023,17.09,16.34,17.09,18.3,14.85,16.6,16.94,16.94,15.19,17.07
MNG,2015,15.91,15.270000000000001,15.91,16.94,15.49,15.49,15.779999999999998,15.779999999999998,15.779999999999998,16.64
MNG,2016,15.42,14.78,15.42,16.45,15.0,15.0,15.29,15.29,15.29,16.14
MNG,2017,15.23,14.59,15.23,16.25,14.81,14.81,15.1,15.1,15.1,15.94
MNG,2018,16.3,15.67,16.3,17.32,15.89,15.89,16.18,16.18,15.44,17.02
MNG,2019,13.059999999999999,12.43,13.059999999999999,14.069999999999999,12.65,12.65,12.930000000000001,12.930000000000001,11.47,13.039999999999997
MNG,2020,11.67,11.05,11.67,12.68,11.26,11.26,11.54,11.54,10.09,11.65
MNG,2021,12.050000000000002,11.43,12.050000000000002,13.06,11.64,11.64,11.93,11.93,10.47,12.03
MNG,2022,18.34,17.7,18.34,19.36,17.92,17.92,18.21,18.21,16.73,18.31
MNG,2023,17.09,16.46,17.09,18.1,16.67,16.67,16.96,16.96,15.49,17.07
MOZ,2015,18.64,18.01,18.64,19.65,16.75,18.22,18.51,18.51,18.51,19.35
MOZ,2016,18.1,17.47,18.1,19.12,16.22,17.69,17.98,17.98,17.98,18.82
MOZ,2017,17.32,16.71,17.32,18.31,15.49,16.92,17.2,17.2,17.2,18.02
MOZ,2018,20.35,19.73,20.35,21.350000000000005,18.5,19.94,20.23,20.23,20.23,21.05
MOZ,2019,14.830000000000002,14.220000000000002,14.830000000000002,15.809999999999999,13.02,14.430000000000001,14.710000000000003,14.710000000000003,14.710000000000003,15.52
MOZ,2020,13.35,12.75,13.35,14.32,11.56,12.96,13.23,13.23,13.23,14.03
MOZ,2021,13.71,13.11,13.71,14.68,11.92,13.32,13.589999999999998,13.589999999999998,13.589999999999998,14.39
MOZ,2022,21.76,21.14,21.76,22.76,19.91,21.35,21.63,21.63,21.63,22.46
MOZ,2023,19.76,19.15,19.76,20.75,17.93,19.36,19.64,19.64,19.64,20.45
MSR,2015,12.56,11.81,12.56,13.77,12.07,12.07,12.41,12.41,12.41,13.41
MSR,2016,12.1,11.35,12.1,13.31,11.61,11.61,11.95,11.95,11.95,12.95
MSR,2017,11.38,10.63,11.38,12.59,10.89,10.89,11.23,11.23,11.23,12.23
MSR,2018,12.72,11.97,12.72,13.93,12.229999999999999,12.229999999999999,12.57,12.57,12.57,13.57
MSR,2019,10.85,10.1,10.85,12.06,10.36,10.36,10.7,10.7,10.7,11.7
MSR,2020,9.43,8.68,9.43,10.64,8.94,8.94,9.28,9.28,9.28,10.28
MSR,2021,9.9,9.15,9.9,11.11,9.41,9.41,9.75,9.75,9.75,10.75
MSR,2022,13.51,12.76,13.51,14.72,13.02,13.02,13.36,13.36,13.36,14.36
MSR,2023,13.57,12.82,13.57,14.78,13.08,13.08,13.42,13.42,13.42,14.42
MUS,2015,8.8,9.69,10.36,11.44,9.15,9.92,10.23,10.23,10.23,11.12
MUS,2016,8.39,9.28,9.95,11.02,8.73,9.51,9.81,9.81,9.81,10.7
MUS,2017,7.95,8.84,9.5,10.58,9.07,9.07,9.37,9.37,9.37,10.26
MUS,2018,9.03,9.91,10.58,11.65,9.37,10.14,10.45,10.45,10.45,11.33
MUS,2019,7.58,8.46,9.12,10.2,7.92,7.92,8.99,8.99,8.99,9.88
MUS,2020,6.32,7.2,7.87,8.94,6.66,6.66,7.73,7.73,7.73,8.62
MUS,2021,7.010000000000001,7.89,8.56,9.63,7.349999999999999,7.349999999999999,8.42,8.42,8.42,9.31
MUS,2022,10.57,11.46,12.13,13.21,10.92,10.92,12.0,12.0,12.0,12.89
MUS,2023,10.57,11.46,12.13,13.2,10.92,10.92,12.0,12.0,12.0,12.88
MWI,2015,17.97,17.33,17.97,18.99,16.08,17.55,17.84,17.84,17.84,18.68
MWI,2016,17.45,16.81,17.45,18.47,15.55,17.03,17.32,17.32,17.32,18.16
MWI,2017,14.7,14.1,14.7,15.69,12.89,14.31,14.58,14.58,14.58,15.39
MWI,2018,17.09,16.48,17.09,18.08,15.26,16.69,16.97,16.97,16.97,17.79
MWI,2019,11.89,11.99,12.59,13.559999999999999,10.79,10.79,12.47,12.47,12.47,13.27
MWI,2020,12.83,12.93,13.54,14.53,11.72,11.72,13.42,13.42,13.42,14.23
MWI,2021,13.199999999999998,13.300000000000002,13.910000000000002,14.89,12.089999999999998,12.089999999999998,13.79,13.79,13.79,14.6
MWI,2022,26.66,26.77,27.42,28.46,25.49,25.49,27.29,27.29,27.29,28.15
MWI,2023,23.71,23.81,24.45,25.48,22.55,22.55,24.32,24.32,24.32,25.17
MYS,2015,9.06,8.45,9.06,10.05,7.23,8.66,8.94,8.94,8.94,9.76
MYS,2016,8.68,8.06,8.68,9.67,6.84,8.28,8.55,8.55,8.55,9.37
MYS,2017,8.4,7.79,8.4,9.39,6.58,8.0,8.28,8.28,8.28,9.09
MYS,2018,9.32,8.71,9.32,10.31,7.489999999999999,8.92,9.2,9.2,9.2,10.01
MYS,2019,8.11,7.5,8.11,9.09,6.28,7.709999999999999,7.980000000000001,7.980000000000001,7.980000000000001,8.8
MYS,2020,6.95,6.34,6.95,7.94,5.13,6.55,6.83,6.83,6.83,7.64
MYS,2021,7.31,6.7,7.31,8.29,5.48,6.91,7.19,7.19,7.19,8.0
MYS,2022,9.7,9.09,9.7,10.69,7.87,9.3,9.58,9.58,9.58,10.39
MYS,2023,9.93,9.32,9.93,10.92,8.11,9.53,9.81,9.81,9.81,10.62
NAM,2015,9.98,9.4,9.98,10.91,8.25,9.6,9.86,9.86,9.86,10.64
NAM,2016,9.59,9.01,9.59,10.52,7.86,8.53,9.47,9.47,9.47,10.24
NAM,2017,9.14,8.57,9.14,10.06,7.43,7.43,9.02,9.02,9.02,9.790000000000001
NAM,2018,10.3,9.73,10.3,11.22,8.59,8.59,10.18,10.18,10.18,10.949999999999998
NAM,2019,9.15,8.58,9.15,10.08,7.44,7.44,9.04,9.04,9.04,9.8
NAM,2020,8.5,7.93,8.5,9.43,6.78,6.78,8.39,8.39,8.39,9.16
NAM,2021,8.84,8.26,8.84,9.76,7.12,7.12,8.72,8.72,8.72,9.49
NAM,2022,14.19,13.6,14.19,15.14,12.44,12.44,14.08,14.08,14.08,14.86
NAM,2023,13.51,12.92,13.51,14.45,11.76,11.76,13.39,13.39,13.39,14.17
NER,2015,17.97,17.33,17.97,18.99,17.55,17.55,17.84,17.84,17.84,18.68
NER,2016,17.45,16.81,17.45,18.47,17.03,17.03,17.32,17.32,17.32,18.16
NER,2017,19.9,19.27,19.9,20.919999999999998,19.48,19.48,19.77,19.77,19.77,20.609999999999996
NER,2018,23.5,22.86,23.5,24.53,23.08,21.59,23.37,23.37,23.37,24.22
NER,2019,12.59,11.99,12.59,13.559999999999999,12.2,10.79,12.47,12.47,12.47,13.27
NER,2020,11.24,10.64,11.24,12.2,10.85,9.45,11.12,11.12,11.12,11.92
NER,2021,11.589999999999998,11.0,11.589999999999998,12.56,11.199999999999998,9.81,11.47,11.47,11.47,12.270000000000001
NER,2022,17.72,17.11,17.72,18.71,17.32,15.9,17.6,17.6,17.6,18.41
NER,2023,20.02,19.4,20.02,21.02,19.62,18.17,19.9,19.9,19.9,20.73
NGA,2015,13.79,13.18,13.79,14.770000000000001,11.96,13.39,13.66,13.66,13.66,14.479999999999999
NGA,2016,13.33,12.72,13.33,14.31,11.51,12.93,13.21,13.21,13.21,14.02
NGA,2017,12.5,11.9,12.5,13.459999999999999,10.709999999999999,12.11,12.38,12.38,12.38,13.179999999999998
NGA,2018,14.39,13.79,14.39,15.36,12.6,14.0,14.270000000000001,14.270000000000001,14.270000000000001,15.07
NGA,2019,11.64,11.04,11.64,12.6,9.85,11.25,11.52,11.52,11.52,12.31
NGA,2020,10.33,9.74,10.33,11.29,8.56,9.95,10.22,10.22,10.22,11.01
NGA,2021,10.69,10.09,10.69,11.64,8.91,10.3,10.57,10.57,10.57,11.36
NGA,2022,17.72,17.11,17.72,18.71,15.9,17.32,17.6,17.6,17.6,18.41
NGA,2023,17.87,17.26,17.87,18.86,16.05,17.47,17.75,17.75,17.75,18.57
NIC,2015,13.98,13.37,13.98,14.979999999999999,13.58,15.029999999999998,13.86,13.86,13.86,14.690000000000001
NIC,2016,13.5,12.88,13.5,14.5,13.1,14.54,13.38,13.38,13.38,14.2
NIC,2017,11.1,10.51,11.1,12.070000000000002,10.709999999999999,12.11,10.98,10.98,10.98,11.78
NIC,2018,12.99,12.39,12.99,13.96,12.6,14.0,12.87,12.87,12.87,13.67
NIC,2019,10.24,9.64,10.24,11.21,10.55,11.25,10.12,10.12,10.12,10.92
NIC,2020,9.84,9.24,9.84,10.81,9.45,10.85,9.72,9.72,9.72,10.52
NIC,2021,10.2,9.6,10.2,11.160000000000002,9.81,11.199999999999998,10.08,10.08,10.08,10.88
NIC,2022,16.29,15.68,16.29,17.28,15.9,17.32,16.17,16.17,16.17,16.99
NIC,2023,15.06,14.45,15.06,16.04,14.66,16.08,14.94,14.94,14.94,15.75
NLD,2015,6.41,6.51,7.1,8.06,6.71,6.71,6.98,6.98,5.6,7.08
NLD,2016,6.06,6.16,6.75,7.71,6.36,6.36,6.63,6.63,5.25,6.73
NLD,2017,6.33,6.43,7.0200000000000005,7.9799999999999995,6.63,6.63,6.9,6.9,5.51,7.0
NLD,2018,6.96,7.06,7.66,8.62,7.27,6.57,7.54,7.54,6.150000000000001,7.64
NLD,2019,6.2,6.3,6.889999999999999,7.85,6.5,5.81,6.769999999999999,6.769999999999999,5.39,6.87
NLD,2020,4.42,5.21,5.81,6.77,5.42,4.03,5.69,5.69,4.3,5.09
NLD,2021,4.76,5.55,6.150000000000001,7.11,5.760000000000001,4.37,6.03,6.03,4.64,5.43
NLD,2022,6.3,7.09,7.68,8.64,7.3,5.91,7.57,7.57,6.18,6.97
NLD,2023,6.83,7.62,8.22,9.18,7.83,6.44,8.1,8.1,6.71,7.5
NOR,2015,7.34,6.73,7.34,8.34,5.5,6.94,7.220000000000001,7.220000000000001,7.220000000000001,8.04
NOR,2016,6.98,6.37,6.98,7.98,5.14,6.58,6.86,6.86,6.86,7.68
NOR,2017,7.2700000000000005,6.65,7.2700000000000005,8.26,5.42,6.86,7.14,7.14,7.14,7.97
NOR,2018,7.919999999999999,7.3,7.919999999999999,8.92,6.07,7.52,7.8,7.8,7.8,8.62
