Technology,Country,Country code,Year,WACC,,
Solar,South Africa,ZAF,2019,13.9,,
Solar,South Africa,ZAF,2021,13.2,,
Solar,Brazil,BRA,2021,18.3,,
Solar,Indonesia,IDN,2019,12,,
Solar,Indonesia,IDN,2021,13,,
Solar,Brazil,BRA,2021,12.5,,
Solar,India,IND,2021,11.5,,
Solar,Mexico,MEX,2021,12,,
Solar,South Africa,ZAF,2021,14.5,,
Solar,Indonesia,IDN,2021,10.6,,
Solar,Brazil,BRA,2019,13.3,,
Solar,Brazil,BRA,2021,11.9,,
Solar,India,IND,2019,11.1,,
Solar,India,IND,2021,9.6,,
Solar,Indonesia,IDN,2019,9.5,,
Solar,Indonesia,IDN,2021,8,,
Solar,Mexico,MEX,2019,10.3,,
Solar,Mexico,MEX,2021,8.9,,
Solar,South Africa,ZAF,2019,11.7,,
Solar,South Africa,ZAF,2021,10.2,,
Solar,Indonesia,IDN,2021,11.8,,
Solar,Brazil,BRA,2019,16.7,,
Solar,Brazil,BRA,2021,18.1,,
Solar,India,IND,2019,11.1,,
Solar,India,IND,2021,11.1,,
Solar,Indonesia,IDN,2019,14.8,,
Solar,Indonesia,IDN,2021,14.8,,
Solar,Brazil,BRA,2019,7.9,,
Solar,Brazil,BRA,2021,7.3,,
