Technology,Country,Country code,Year,WACC,,
Solar,Brazil,BRA,2022,12.06956833,,
Solar,Brazil,BRA,2022,11.98956833,,
Solar,Brazil,BRA,2022,7.92,,
Solar,Brazil,BRA,2022,10,,
Solar,India,IND,2022,7.56,,
Solar,India,IND,2022,12.19,,
Solar,India,IND,2022,9.25,,
Solar,India,IND,2022,10.5,,
Solar,India,IND,2022,4.993468877,,
Solar,India,IND,2022,7,,
Solar,India,IND,2022,9,,
Solar,India,IND,2022,6.008468877,,
Solar,India,IND,2022,10,,
Solar,India,IND,2022,10,,
Solar,India,IND,2022,8.4,,
Solar,India,IND,2022,8,,
Solar,India,IND,2022,8.176,,
Solar,India,IND,2022,14.19,,
Solar,India,IND,2022,9.75,,
Solar,India,IND,2022,10.5,,
Solar,India,IND,2022,4.993468877,,
Solar,India,IND,2022,9,,
Solar,India,IND,2022,12,,
Solar,India,IND,2022,7.408468877,,
Solar,India,IND,2022,12,,
Solar,India,IND,2022,12,,
Solar,India,IND,2022,8.4,,
Solar,India,IND,2022,10,,
Solar,Indonesia,IDN,2022,12.01,,
Solar,Indonesia,IDN,2022,7,,
Solar,Indonesia,IDN,2022,7.536614303,,
Solar,Indonesia,IDN,2022,6.352614303,,
Solar,Indonesia,IDN,2022,8.736614303,,
Solar,Indonesia,IDN,2022,7.8,,
Solar,Indonesia,IDN,2022,8.536614303,,
Solar,Indonesia,IDN,2022,6.976614303,,
Solar,Indonesia,IDN,2022,14.01,,
Solar,Indonesia,IDN,2022,7,,
Solar,Indonesia,IDN,2022,7.536614303,,
Solar,Indonesia,IDN,2022,6.352614303,,
Solar,Indonesia,IDN,2022,9.236614303,,
Solar,Indonesia,IDN,2022,9.36,,
Solar,Indonesia,IDN,2022,10.0966143,,
Solar,Indonesia,IDN,2022,6.976614303,,
Solar,Mexico,MEX,2022,10.69272264,,
Solar,Mexico,MEX,2022,13.85,,
Solar,Mexico,MEX,2022,10.57272264,,
Solar,Mexico,MEX,2022,7,,
Solar,Mexico,MEX,2022,11,,
Solar,Mexico,MEX,2022,9.894398829,,
Solar,Mexico,MEX,2022,10.57272264,,
Solar,Mexico,MEX,2022,8.172722637,,
Solar,Mexico,MEX,2022,9,,
Solar,Mexico,MEX,2022,11.63772264,,
Solar,Mexico,MEX,2022,15.85,,
Solar,Mexico,MEX,2022,10.57272264,,
Solar,Mexico,MEX,2022,7,,
Solar,Mexico,MEX,2022,13.5,,
Solar,Mexico,MEX,2022,10.91359803,,
Solar,Mexico,MEX,2022,12.57272264,,
Solar,Mexico,MEX,2022,8.172722637,,
Solar,Mexico,MEX,2022,11,,
Solar,South Africa,ZAF,2022,6.84,,
Solar,South Africa,ZAF,2022,12.6717475,,
Solar,South Africa,ZAF,2022,15.5,,
Solar,South Africa,ZAF,2022,10.9717475,,
Solar,South Africa,ZAF,2022,12.5,,
Solar,South Africa,ZAF,2022,6,,
Solar,South Africa,ZAF,2022,8.64,,
Solar,South Africa,ZAF,2022,7.776,,
Solar,South Africa,ZAF,2022,12.6717475,,
Solar,South Africa,ZAF,2022,17.5,,
Solar,South Africa,ZAF,2022,10.9717475,,
Solar,South Africa,ZAF,2022,15.5,,
Solar,South Africa,ZAF,2022,8,,
Solar,South Africa,ZAF,2022,8.64,,
Solar,Brazil,BRA,2022,11.25,,
Solar,India,IND,2022,9.5,,
Solar,Indonesia,IDN,2022,8.25,,
Solar,Mexico,MEX,2022,11,,
Solar,South Africa,ZAF,2022,11,,
