WEO Country Code,Country code,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2023,2024,2025,2026,2027,2028,2029,Estimates Start After
536,IDN,Indonesia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4942.361,5270.975,5713.854,6130.674,6565.312,7029.755,7519.119,2023
429,IRN,Islamic Republic of Iran,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4662.52,5310.256,5507.614,5713.02,5908.999,6090.608,6272.258,2021
433,IRQ,Iraq,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5869.58,5978.943,6110.518,6240.534,6401.306,6598.905,6824.812,2013
178,IRL,Ireland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,104272.075,106058.582,109153.379,112706.213,116359.347,120220.224,124201.41,2023
436,ISR,Israel,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,52219.276,53371.545,56205.058,57590.176,59078.862,60726.407,62427.723,2023
136,ITA,Italy,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,38325.839,39579.56,40700.723,41611.852,42604.231,43834.553,45095.652,2023
343,JAM,Jamaica,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6875.672,7309.314,7576.182,7817.25,8066.262,8325.393,8592.95,2019
158,JPN,Japan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,33805.939,33138.163,34921.551,36642.656,38064.804,39819.642,40948.61,2023
439,JOR,Jordan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4497.524,4705.339,4942.831,5185.344,5432.157,5686.271,5947.829,2022
916,KAZ,Kazakhstan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,13116.815,14778.424,15425.753,15963.801,16935.074,17692.541,18396.263,2022
664,KEN,Kenya,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2113.407,1983.099,2055.065,2175.193,2287.204,2414.57,2548.576,2019
826,KIR,Kiribati,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2231.448,2446.127,2569.127,2662.894,2736.923,2801.082,2868.917,2022
542,KOR,Korea,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,33192.046,34164.985,35785.088,37408.841,39011.544,40654.953,42326.204,2022
967,UVK,Kosovo,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5917.051,6388.731,6891.451,7368.246,7820.594,8269.518,8649.689,2021
443,KWT,Kuwait,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,32638.041,31723.933,31679.561,31648.05,31895.839,32301.842,32858.403,2022
917,KGZ,Kyrgyz Republic,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1843.19,1921.514,2029.441,2119.133,2194.621,2257.322,2323.418,2021
544,LAO,Lao P.D.R.,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2004.349,1976.483,2082.896,2155.759,2247.18,2362.978,2489.503,2022
941,LVA,Latvia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,23153.479,24193.744,25739.259,27112.523,28543.73,30051.961,31619.005,2023
446,LBN,Lebanon,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,,,,,,,,2019
666,LSO,Lesotho,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1052.122,1107.084,1152.451,1191.061,1219.862,1249.71,1321.604,2022
668,LBR,Liberia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,808.229,854.852,890.424,940.938,988.7,1051.415,1101.728,2022
672,LBY,Libya,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6576.036,6975.33,7241.069,7414.457,7443.76,7479.059,7596.391,2019
946,LTU,Lithuania,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,27026.117,28407.196,29919.557,31545.372,33216.845,34974.295,36780.264,2023
137,LUX,Luxembourg,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,129810.315,131384.164,135804.152,138927.725,142003.486,145060.816,148007.194,2022
546,MAC,Macao SAR,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,69079.722,78962.24,87834.545,92724.425,96857.826,101206.886,105985.776,2022
674,MDG,Madagascar,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,529.224,538.176,569.802,596.18,625.025,665.639,709.544,2018
676,MWI,Malawi,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,577.538,480.727,471.082,472.643,485.061,498.686,513.443,2016
548,MYS,Malaysia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,12570.46,13314.84,14115.222,14870.382,15556.055,16318.436,17075.157,2022
556,MDV,Maldives,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,16822.54,17817.78,19223.199,20255.626,21294.957,22323.376,23401.46,2014
678,MLI,Mali,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,885.88,898.817,923.916,956.634,990.154,1025.229,1060.431,2022
181,MLT,Malta,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,38673.584,41738.084,43878.77,46110.644,48351.43,50683.081,53064.306,2023
867,MHL,Marshall Islands,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6306.945,6710.545,6943.294,7149.939,7341.455,7538.102,7740.015,2022
682,MRT,Mauritania,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2379.854,2346.945,2453.22,2523.586,2590.562,2639.728,2608.223,2014
684,MUS,Mauritius,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,11396.06,12973.298,13999.562,15034.395,16016.167,17047.711,18124.288,2022
273,MEX,Mexico,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,13641.613,15248.788,15956.446,16599.542,17221.425,17883.078,18541.892,2020
868,FSM,Micronesia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4864.704,5119.566,5363.506,5558.945,5720.226,5879.649,6039.222,2021
921,MDA,Moldova,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6832.465,7488.443,8386.036,9407.804,10555.316,11845.334,13329.665,2022
948,MNG,Mongolia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5668.351,6181.886,6541.563,6975.961,7395.987,7832.809,8295.437,2022
943,MNE,Montenegro,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,11696.262,12645.548,13359.653,14060.294,14764.208,15504.593,16265.698,2023
686,MAR,Morocco,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3888.585,4077.525,4280.752,4490.39,4692.322,4900.389,5119.35,2022
688,MOZ,Mozambique,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,629.921,659.095,703.449,724.156,815.223,906.259,975.902,2015
518,MMR,Myanmar,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1189.842,1247.676,1342.215,1444.559,1557.279,1679.3,1811.419,2021
728,NAM,Namibia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4664.713,4745.256,4924.524,5110.055,5282.398,5450.463,5624.022,2022
836,NRU,Nauru,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,12037.888,12362.25,12314.216,12443.384,12429.281,12458.459,12569.948,2020
558,NPL,Nepal,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1319.643,1397.08,1519.955,1647.083,1785.318,1937.214,2102.012,2022
138,NLD,Netherlands,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,62718.681,63749.903,65315.916,67444.988,69642.68,71869.919,73990.171,2023
196,NZL,New Zealand,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,47536.739,48530.814,49644.841,51049.101,52395.131,54052.205,55738.463,2022
278,NIC,Nicaragua,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2608.085,2791.231,2973.508,3167.689,3374.551,3594.921,3829.682,2020
692,NER,Niger,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,610.635,670.104,700.75,731.3,760.263,791.826,824.13,2009
694,NGA,Nigeria,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1687.568,1109.899,1076.518,1065.914,1085.256,1103.454,1120.672,2012
962,MKD,North Macedonia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,8147.93,8847.378,9522.223,10229.125,11044.67,11874.168,12681.037,2023
142,NOR,Norway,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,87739.41,94659.918,99063.714,100171.014,102550.758,104875.665,107586.572,2023
449,OMN,Oman,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,21623.401,20913.3,20660.139,20697.247,20809.678,21005.5,20916.436,2022
564,PAK,Pakistan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1460.74,,,,,,,2023
565,PLW,Palau,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,15084.549,17441.487,19893.274,21010.385,21889.757,22689.037,23543.37,2022
